componentInstanceURI,slotNumber,instrumentInstanceURI,instrumentLabel,oldLabel,newLabel,inferenceSource,whyThisIsBetter
pmsr:CPI4433323671890,0003,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Electrode  -- CB:Eletrodes Adult for Laerdal Nursing Anne Mannequin. SN: 080005,Adult electrode signal detector for interaction event monitoring,electrode-adult-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6564220492770,0004,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Electrode  -- CB:Eletrodes Pediatric for Laerdal Nursing Anne Mannequin. SN: 080005,Pediatric electrode signal detector for airway pressure event monitoring,electrode-pediatric-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI2385493947917,0005,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,DAE Trainer  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 080005,Pulse rate detector for AED training response monitoring,dae-trainer-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0542986476918,0006,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Microphone  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 080005,Applied force detector for procedural force feedback monitoring,microphone-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0311274391218,0007,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Laerdal Nursing Anne Mannequin Detector for Laerdal Nursing Anne Mannequin. SN: 080005,Venous flashback detector for confirming vascular access events,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI1585228889059,0008,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Laerdal Nursing Anne Mannequin Actuator for Laerdal Nursing Anne Mannequin. SN: 080005,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5254971828047,0001,pmsr:INI1784879596105711,Gynaecological Examination Mannequin. SN: 080006,Gynaecological Examination Mannequin Detector for Gynaecological Examination Mannequin. SN: 080006,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI2573421442695,0002,pmsr:INI1784879596105711,Gynaecological Examination Mannequin. SN: 080006,Gynaecological Examination Mannequin Actuator for Gynaecological Examination Mannequin. SN: 080006,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI9907785028863,0001,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Skill Guide Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090001,Learner guidance status detector for procedural coaching workflow,skill-guide-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI1328046693086,0002,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,SimPad Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090001,Scenario control actuator for simulation state orchestration,simpad-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5523181803461,0003,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Electrode  -- CB:Eletrodes Adult for Laerdal Nursing Anne Mannequin. SN: 090001,Adult electrode signal detector for interaction event monitoring,electrode-adult-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0963900985538,0004,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Electrode  -- CB:Eletrodes Pediatric for Laerdal Nursing Anne Mannequin. SN: 090001,Pediatric electrode signal detector for airway pressure event monitoring,electrode-pediatric-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI7616545118677,0005,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,DAE Trainer  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090001,Pulse rate detector for AED training response monitoring,dae-trainer-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI9241514063403,0006,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Microphone  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090001,Applied force detector for procedural force feedback monitoring,microphone-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI8485842196696,0007,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Laerdal Nursing Anne Mannequin Detector for Laerdal Nursing Anne Mannequin. SN: 090001,Venous flashback detector for confirming vascular access events,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0502064983078,0008,pmsr:INI1784879596916401,Laerdal Nursing Anne Mannequin. SN: 090001,Laerdal Nursing Anne Mannequin Actuator for Laerdal Nursing Anne Mannequin. SN: 090001,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0224109627489,0001,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Skill Guide Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090002,Learner guidance status detector for procedural coaching workflow,skill-guide-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5926729031377,0002,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,SimPad Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090002,Scenario control actuator for simulation state orchestration,simpad-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0574984151883,0003,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Electrode  -- CB:Eletrodes Adult for Laerdal Nursing Anne Mannequin. SN: 090002,Adult electrode signal detector for interaction event monitoring,electrode-adult-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI1272614724265,0004,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Electrode  -- CB:Eletrodes Pediatric for Laerdal Nursing Anne Mannequin. SN: 090002,Pediatric electrode signal detector for airway pressure event monitoring,electrode-pediatric-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4568289153166,0005,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,DAE Trainer  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090002,Pulse rate detector for AED training response monitoring,dae-trainer-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI3959656841687,0006,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Microphone  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 090002,Applied force detector for procedural force feedback monitoring,microphone-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4202788848154,0007,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Laerdal Nursing Anne Mannequin Detector for Laerdal Nursing Anne Mannequin. SN: 090002,Venous flashback detector for confirming vascular access events,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6978218910936,0008,pmsr:INI1784879596266991,Laerdal Nursing Anne Mannequin. SN: 090002,Laerdal Nursing Anne Mannequin Actuator for Laerdal Nursing Anne Mannequin. SN: 090002,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5286936902472,0001,pmsr:INI1784879596705991,Low-Fidelity Mannequin. SN: 090003,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090003,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI2399838562343,0002,pmsr:INI1784879596705991,Low-Fidelity Mannequin. SN: 090003,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090003,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI9269801308798,0001,pmsr:INI1784879596976001,Low-Fidelity Mannequin. SN: 090004,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090004,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI2597532569735,0002,pmsr:INI1784879596976001,Low-Fidelity Mannequin. SN: 090004,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090004,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6140569112784,0001,pmsr:INI1784879596300741,Low-Fidelity Mannequin. SN: 090005,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090005,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6257645489513,0002,pmsr:INI1784879596300741,Low-Fidelity Mannequin. SN: 090005,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090005,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4290482162068,0001,pmsr:INI1784879596950011,Low-Fidelity Mannequin. SN: 090006,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090006,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6966523132614,0002,pmsr:INI1784879596950011,Low-Fidelity Mannequin. SN: 090006,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090006,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI7083644432581,0001,pmsr:INI1784879596131231,Low-Fidelity Mannequin. SN: 090007,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090007,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI2136679003342,0002,pmsr:INI1784879596131231,Low-Fidelity Mannequin. SN: 090007,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090007,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI3054160204214,0001,pmsr:INI1784879596936661,Low-Fidelity Mannequin. SN: 090008,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090008,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI3456466255557,0002,pmsr:INI1784879596936661,Low-Fidelity Mannequin. SN: 090008,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090008,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI7495292343594,0001,pmsr:INI1784879596903501,Low-Fidelity Mannequin. SN: 090009,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090009,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI1525655732121,0002,pmsr:INI1784879596903501,Low-Fidelity Mannequin. SN: 090009,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090009,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4375379800192,0001,pmsr:INI1784879596358691,Low-Fidelity Mannequin. SN: 090010,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 090010,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6073081392368,0002,pmsr:INI1784879596358691,Low-Fidelity Mannequin. SN: 090010,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 090010,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5038280342477,0001,pmsr:INI1784879596716181,Gynaecological Examination Mannequin. SN: 100001,Gynaecological Examination Mannequin Detector for Gynaecological Examination Mannequin. SN: 100001,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5442455551516,0002,pmsr:INI1784879596716181,Gynaecological Examination Mannequin. SN: 100001,Gynaecological Examination Mannequin Actuator for Gynaecological Examination Mannequin. SN: 100001,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI3546774164755,0001,pmsr:INI1784879596173251,Gynaecological Examination Mannequin. SN: 100002,Gynaecological Examination Mannequin Detector for Gynaecological Examination Mannequin. SN: 100002,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI8809523844577,0002,pmsr:INI1784879596173251,Gynaecological Examination Mannequin. SN: 100002,Gynaecological Examination Mannequin Actuator for Gynaecological Examination Mannequin. SN: 100002,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
